secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
139383,02JAN2013,TBF 130316P27000,1,16MAR2013,19SEP2012,P,27000,0,0.2,0,3,0.17042,-0.092404,0.073576,2.190371,-0.937595,83033437,1,0,NA,NA
139383,02JAN2013,TBF 130316P28000,1,16MAR2013,07DEC2012,P,28000,0,0.25,0,3,0.130409,-0.139092,0.128681,2.929202,-0.95641,83033438,1,0,NA,NA
139383,02JAN2013,TBF 130316P29000,1,16MAR2013,28DEC2012,P,29000,0.25,0.5,0,29,0.13285,-0.319064,0.203664,4.719284,-1.562837,83033439,1,0,NA,NA
139383,02JAN2013,TBF 130316P30000,1,16MAR2013,,P,30000,0.75,1,0,0,0.142046,-0.537569,0.212163,5.246547,-1.846808,83033440,1,0,NA,NA
139383,02JAN2013,TBF 130316P31000,1,16MAR2013,20DEC2012,P,31000,1.45,1.7,0,41,0.150967,-0.71761,0.170527,4.463167,-1.655211,83033441,1,0,NA,NA
139383,02JAN2013,TBF 130316P32000,1,16MAR2013,,P,32000,2.3,2.55,0,0,0.163968,-0.832468,0.117269,3.307991,-1.318609,83033442,1,0,NA,NA
139383,02JAN2013,TBF 130316P33000,1,16MAR2013,04OCT2012,P,33000,3.2,3.5,0,25,0.178803,-0.898069,0.077225,2.34562,-1.007768,83033443,1,0,NA,NA
139383,02JAN2013,TBF 130316P34000,1,16MAR2013,,P,34000,4.2,4.5,0,0,0.21525,-0.91226,0.057472,2.098365,-1.089559,83033444,1,0,NA,NA
139383,02JAN2013,TBF 130316P35000,1,16MAR2013,,P,35000,5.1,5.5,0,0,0.218986,-0.949318,0.037915,1.371736,-0.709996,83033445,1,0,NA,NA
139383,02JAN2013,TBF 130316P36000,1,16MAR2013,,P,36000,6.1,6.5,0,0,0.248557,-0.954372,0.030731,1.257605,-0.742326,83033446,1,0,NA,NA
139383,02JAN2013,TBF 130316P40000,1,16MAR2013,14SEP2012,P,40000,10.1,10.4,0,1,NA,NA,NA,NA,NA,83092727,1,0,NA,NA
139383,02JAN2013,TBF 130622C20000,1,22JUN2013,,C,20000,9.5,9.9,0,0,NA,NA,NA,NA,NA,83614296,1,0,NA,NA
139383,02JAN2013,TBF 130622C22000,1,22JUN2013,,C,22000,7.5,7.9,0,0,NA,NA,NA,NA,NA,83464436,1,0,NA,NA
139383,02JAN2013,TBF 130622C23000,1,22JUN2013,12DEC2012,C,23000,6.5,6.9,0,13,NA,NA,NA,NA,NA,83464437,1,0,NA,NA
139383,02JAN2013,TBF 130622C24000,1,22JUN2013,,C,24000,5.5,5.9,0,0,NA,NA,NA,NA,NA,83464438,1,0,NA,NA
139383,02JAN2013,TBF 130622C25000,1,22JUN2013,31DEC2012,C,25000,4.7,4.9,0,6,0.123224,0.983312,0.016603,0.844258,-0.184197,83464439,1,0,NA,NA
139383,02JAN2013,TBF 130622C26000,1,22JUN2013,18DEC2012,C,26000,3.6,4,0,191,0.097692,0.981025,0.023367,0.940166,-0.174091,83464440,1,0,NA,NA
